SubstitutionRate,Theta
0.00061243 ,391.95519999999993
1.05504115e-06 ,0.675226336
0.00073509 ,470.4576
0.0004186 ,267.904
0.00071209 ,455.7376
0.00076809 ,491.5776
0.00028138 ,180.0832
5.69053171e-06 ,3.6419402944000003
0.00063477 ,406.2528
0.00042868 ,274.3552
0.00051206 ,327.71840000000003
6.60370982e-05 ,42.26374284800001
0.00028014 ,179.2896
0.00053671 ,343.49440000000004
0.00056997 ,364.78080000000006
3.5577654e-05 ,22.769698560000002
0.000504 ,322.56
0.00020991 ,134.3424
0.00056405 ,360.99199999999996
0.00066431 ,425.1584
0.00077226 ,494.2464
0.00012164 ,77.8496
0.00062588 ,400.5632
0.00010424 ,66.7136
0.00037912 ,242.6368
0.00034675 ,221.92000000000002
0.00043805 ,280.352
0.00021609 ,138.2976
0.00020289 ,129.8496
0.00064305 ,411.552
0.00010197 ,65.2608
0.00039738 ,254.3232
0.00023183 ,148.37120000000002
0.00033514 ,214.4896
3.1359263e-06 ,2.006992832
0.0005831 ,373.184
0.00061417 ,393.0688
0.00050378 ,322.4192
0.00011264 ,72.0896
0.00052697 ,337.26079999999996
0.00025875 ,165.6
0.00078017 ,499.30879999999996
0.00029484 ,188.6976
0.00035022 ,224.14079999999998
0.00020522 ,131.3408
3.15455363e-05 ,20.189143232
0.0006707 ,429.248
0.00055504 ,355.2256
0.00026126 ,167.2064
0.0006926 ,443.264
0.00045149 ,288.9536
0.00053755 ,344.03200000000004
0.00036264 ,232.08960000000002
0.00071621 ,458.37440000000004
0.00062161 ,397.8304
0.00033002 ,211.2128
0.00058765 ,376.096
4.36308518e-05 ,27.923745152000002
0.00021117 ,135.1488
0.00064203 ,410.8992
0.00049923 ,319.5072
0.00041763 ,267.2832
3.13201305e-05 ,20.04488352
0.00063951 ,409.2864
0.00023253 ,148.8192
0.00018851 ,120.64639999999999
0.00053799 ,344.31359999999995
0.00014688 ,94.0032
0.00037296 ,238.69439999999997
0.00048237 ,308.7168
0.00067575 ,432.48
3.78484554e-05 ,24.223011456000002
0.00022122 ,141.5808
5.71951555e-06 ,3.660489952
0.00064737 ,414.3168
0.00031934 ,204.3776
0.0002329 ,149.05599999999998
0.00053043 ,339.47520000000003
0.00053036 ,339.4304
0.00021154 ,135.3856
0.00042261 ,270.47040000000004
0.00041818 ,267.6352
0.00029369 ,187.9616
0.0004569 ,292.416
0.00032284 ,206.6176
0.00075411 ,482.63039999999995
0.00056976 ,364.6464
0.00048417 ,309.8688
0.00017348 ,111.0272
0.00040298 ,257.9072
0.00046832 ,299.7248
0.00019913 ,127.4432
0.00040144 ,256.92159999999996
8.64465998e-05 ,55.325823872
0.00067732 ,433.4848
0.00048437 ,309.9968
0.00044148 ,282.5472
0.00014049 ,89.9136
0.00075672 ,484.30080000000004
0.00056669 ,362.6816
0.00035434 ,226.77760000000004
0.00033288 ,213.0432
0.00030485 ,195.104
0.00046452 ,297.2928
0.00038662 ,247.4368
0.00022081 ,141.3184
0.00023752 ,152.0128
6.86514127e-06 ,4.3936904128
0.00064288 ,411.4432
0.00011008 ,70.4512
8.77153621e-05 ,56.137831743999996
0.00061603 ,394.2592000000001
0.00068543 ,438.6752
0.00044955 ,287.712
0.00050039 ,320.2496
0.0006574 ,420.73600000000005
6.00367413e-05 ,38.423514432000005
0.00010649 ,68.1536
2.98508617e-05 ,19.104551488000002
0.00016992 ,108.74879999999999
0.00041138 ,263.28319999999997
0.00026471 ,169.4144
3.53812396e-05 ,22.643993344000002
0.00048155 ,308.192
0.00043113 ,275.9232
0.00014402 ,92.1728
0.0006126 ,392.064
7.59017499e-05 ,48.577119935999995
0.00056571 ,362.0544
0.00068812 ,440.3968
0.00033098 ,211.8272
0.00052871 ,338.37440000000004
0.00028284 ,181.01760000000002
0.00050247 ,321.58079999999995
2.19175609e-05 ,14.027238976
0.00012889 ,82.4896
0.00037984 ,243.0976
0.00032163 ,205.84319999999997
0.00075443 ,482.83520000000004
0.00022437 ,143.5968
0.00050094 ,320.60159999999996
0.00056893 ,364.1152
4.13594902e-05 ,26.470073728000003
4.71237821e-05 ,30.159220544
0.00018938 ,121.2032
0.00045651 ,292.16639999999995
0.00063039 ,403.44960000000003
0.00011024 ,70.5536
0.00014223 ,91.0272
0.00045416 ,290.6624
0.00014279 ,91.3856
0.00049886 ,319.2704
0.00075712 ,484.5568
0.000715 ,457.6
0.00013611 ,87.1104
0.00055336 ,354.15040000000005
9.46354776e-05 ,60.566705664000004
0.00069277 ,443.3728
0.00049976 ,319.8464
0.0006989 ,447.296
0.00053019 ,339.32160000000005
0.00046975 ,300.64
0.00076239 ,487.9296
5.82614197e-05 ,37.287308608
3.82670808e-05 ,24.490931712000005
0.00036214 ,231.76960000000003
0.00047594 ,304.60159999999996
0.00065892 ,421.70880000000005
0.00065603 ,419.8592
0.00021291 ,136.26239999999999
8.83932806e-05 ,56.571699584
0.00045373 ,290.3872
0.00069363 ,443.92319999999995
0.00063007 ,403.2448
0.00034191 ,218.8224
0.00033652 ,215.37279999999998
9.32950578e-05 ,59.708836992
0.00045531 ,291.3984
0.00034017 ,217.7088
0.00016481 ,105.4784
0.00020982 ,134.28480000000002
0.00032142 ,205.7088
0.00075343 ,482.1952
0.00042273 ,270.5472
0.00034755 ,222.43200000000002
0.00048002 ,307.2128
0.00048682 ,311.5648
0.00054938 ,351.6032
0.00074257 ,475.24480000000005
0.00071936 ,460.3904
0.00032875 ,210.39999999999998
0.00014272 ,91.34079999999999
0.00043349 ,277.4336
0.00063719 ,407.8016
0.0001655 ,105.92
0.00034094 ,218.2016
0.00064368 ,411.9552
0.00027227 ,174.2528
0.00045337 ,290.1568
0.00041459 ,265.3376
0.00070163 ,449.04319999999996
0.00026912 ,172.23680000000002
0.00029805 ,190.75199999999998
0.00025574 ,163.67360000000002
0.00033522 ,214.54080000000002
0.00055096 ,352.6144
5.32966351e-06 ,3.4109846463999998
0.0003464 ,221.69600000000003
6.42296465e-05 ,41.10697376
5.46228116e-05 ,34.958599424
0.00019245 ,123.16799999999999
3.3042427e-05 ,21.147153279999998
0.00062239 ,398.3296
0.00053095 ,339.80799999999994
0.00062344 ,399.0016
0.00030651 ,196.1664
0.00053816 ,344.4224
0.00072322 ,462.8608
0.00014602 ,93.4528
