SubstitutionRate,Theta
7.82371643e-05 ,116.72984913559999
0.00030845 ,460.2074
0.00028459 ,424.60828000000004
0.00031212 ,465.68304
3.33202552e-05 ,49.713820758400004
0.00015009 ,223.93428
0.000155 ,231.26
8.48751743e-05 ,126.63376005559999
0.00018059 ,269.44028
2.00172454e-05 ,29.865730136800003
0.00017383 ,259.35436000000004
8.56670088e-05 ,127.8151771296
0.00016435 ,245.21020000000004
0.00018848 ,281.21216000000004
0.00017442 ,260.23464
0.00012272 ,183.09824
0.00020235 ,301.9062
0.00018719 ,279.28748
0.00029258 ,436.52936
4.43243526e-06 ,6.61319340792
0.00020619 ,307.63548000000003
0.00016346 ,243.88232000000002
0.00033276 ,496.47792
0.00025061 ,373.91012
0.00021789 ,325.09188
0.00026497 ,395.33524
0.00019385 ,289.2242
0.00023999 ,358.06508
8.21182294e-05 ,122.52039826480001
0.00027463 ,409.74796
1.36334786e-05 ,20.3411500712
0.00021076 ,314.45392
0.00026795 ,399.78139999999996
0.00019088 ,284.79296
6.73488149e-05 ,100.48443183079999
0.00030382 ,453.29943999999995
8.04450424e-05 ,120.0240032608
0.00024553 ,366.33076
0.00011906 ,177.63752
0.00025173 ,375.58115999999995
0.00018834 ,281.00328
0.00020531 ,306.32252
0.0003349 ,499.67080000000004
3.88242658e-05 ,57.9258045736
0.00025971 ,387.48732
0.00017191 ,256.48972000000003
0.00020077 ,299.54884
0.00032137 ,479.48404000000005
0.00023936 ,357.12512000000004
0.00027396 ,408.74832000000004
0.00026073 ,389.00915999999995
0.00012521 ,186.81332000000003
1.03134249e-05 ,15.3876299508
0.00028631 ,427.17452000000003
0.00019238 ,287.03096
0.00029259 ,436.54428
0.00019359 ,288.83628
0.00012553 ,187.29076
8.1567615e-05 ,121.69888157999999
9.62037169e-05 ,143.5359456148
8.28162252e-05 ,123.56180799840001
0.00016841 ,251.26772
0.00026265 ,391.8738
2.8956189e-06 ,4.3202633988
0.0001063 ,158.59959999999998
0.00013856 ,206.73152
0.00012294 ,183.42648
0.00021947 ,327.44924
0.00023987 ,357.88604
0.0002021 ,301.5332
3.83751668e-05 ,57.2557488656
0.00022979 ,342.84668
0.00022555 ,336.5206
0.00029712 ,443.30304
6.33582983e-05 ,94.53058106360001
0.00010605 ,158.22660000000002
0.00015696 ,234.18431999999999
0.00030491 ,454.92571999999996
0.00030359 ,452.95628000000005
0.00015761 ,235.15412
0.00016321 ,243.50932
0.00010599 ,158.13708
0.00026482 ,395.11144
0.00011953 ,178.33876
0.00011808 ,176.17535999999998
7.92430126e-06 ,11.823057479919997
5.68742609e-05 ,84.8563972628
0.00016245 ,242.37539999999998
0.00032625 ,486.765
9.02115347e-05 ,134.5956097724
0.00025552 ,381.23584000000005
5.85068016e-05 ,87.2921479872
0.00010555 ,157.4806
0.00033288 ,496.65696
0.00013884 ,207.14927999999998
8.58536934e-05 ,128.0937105528
0.00013705 ,204.4786
0.00010647 ,158.85324
4.90923382e-05 ,73.24576859439999
0.00028432 ,424.20544
2.63832702e-05 ,39.363839138399996
1.44924686e-05 ,21.622763151199997
0.00027939 ,416.84988000000004
0.00030438 ,454.13496
0.00010526 ,157.04792
0.00017966 ,268.05271999999997
0.0002235 ,333.462
0.00028844 ,430.35247999999996
0.00014394 ,214.75848000000002
0.00018034 ,269.06728
0.00019107 ,285.07644
0.00014949 ,223.03908
0.00011824 ,176.41408
0.00021701 ,323.77892
0.00029763 ,444.06396
3.52086049e-06 ,5.25312385108
0.00013374 ,199.54008
0.00022038 ,328.80696
1.85686097e-06 ,2.77043656724
0.00018755 ,279.8246
9.82418609e-05 ,146.57685646279998
0.00016068 ,239.73456000000002
0.0003237 ,482.9604
0.00026377 ,393.5448399999999
0.00014917 ,222.56163999999998
0.00022342 ,333.34264
0.00011889 ,177.38388
1.73665796e-05 ,25.910936763200002
0.00030676 ,457.68591999999995
0.00025863 ,385.87595999999996
2.8538002e-05 ,42.578698984
2.4714477e-05 ,36.873999684
7.32832261e-05 ,109.3385733412
2.52579499e-05 ,37.6848612508
0.00016845 ,251.32739999999998
0.00026363 ,393.33595999999994
0.00012148 ,181.24815999999998
8.26188629e-05 ,123.26734344680001
5.45909517e-05 ,81.4496999364
0.00019468 ,290.46256
