SubstitutionRate,Theta
3.84469662e-05 ,48.2893895472
0.00018862 ,236.90671999999998
0.00013754 ,172.75024
0.00029709 ,373.14504000000005
8.76596417e-05 ,110.1005099752
0.00033355 ,418.9388
0.00018104 ,227.38624
7.29535517e-06 ,9.16296609352
0.00013959 ,175.32504000000003
0.00036149 ,454.03144000000003
0.00034768 ,436.68608
0.00034307 ,430.89592
2.32766837e-05 ,29.235514727199998
4.25968664e-05 ,53.50166419839999
0.00013809 ,173.44104
0.00035113 ,441.01928
0.00024094 ,302.62064000000004
0.00023896 ,300.13376
0.00037826 ,475.09456
0.00011733 ,147.36648
0.00020245 ,254.2772
4.0702113e-05 ,51.121853928
7.20748706e-06 ,9.05260374736
0.00033869 ,425.39464
6.48589191e-05 ,81.4628023896
0.00026495 ,332.77720000000005
0.00037515 ,471.1884
6.95694147e-05 ,87.3791848632
0.00031993 ,401.83207999999996
1.45909757e-05 ,18.3262654792
0.00018282 ,229.62192
0.00031884 ,400.4630399999999
0.00029049 ,364.85544000000004
0.0003718 ,466.98079999999993
0.00013275 ,166.734
0.00035056 ,440.30336
0.00011602 ,145.72111999999998
9.39183602e-05 ,117.9614604112
0.00015326 ,192.49456
0.00027545 ,345.9652
0.00018739 ,235.36184
0.00023748 ,298.27488
0.00038074 ,478.20944000000003
0.00033013 ,414.64327999999995
0.00023553 ,295.82568
3.78519699e-05 ,47.54207419440001
7.17025967e-05 ,90.05846145519999
0.00039251 ,492.99255999999997
7.33779757e-05 ,92.1627374792
0.00015734 ,197.61904
0.00013895 ,174.5212
6.00799039e-06 ,7.5460359298399995
0.0003022 ,379.56319999999994
4.16007861e-05 ,52.2505873416
0.00028657 ,359.93192
0.00012254 ,153.91024
0.00018688 ,234.72127999999998
0.00010338 ,129.84528
8.86192841e-05 ,111.3058208296
5.06442945e-05 ,63.609233892
0.00031618 ,397.12208000000004
0.00018614 ,233.79184
0.00013168 ,165.39008
0.00023795 ,298.8652
6.66470101e-05 ,83.7086446856
9.26966816e-05 ,116.42703208959999
0.00038038 ,477.75728
0.00036625 ,460.00999999999993
0.00022561 ,283.36616
0.00011734 ,147.37904
0.00038665 ,485.6324
0.00035673 ,448.05288
0.00013713 ,172.23528
9.0488721e-05 ,113.653833576
0.00022814 ,286.54384
0.00032375 ,406.63
5.76657019e-05 ,72.4281215864
0.00019421 ,243.92775999999998
2.3699379e-05 ,29.766420024000002
0.00012001 ,150.73255999999998
0.00031753 ,398.81768
0.00033401 ,419.51655999999997
0.00024055 ,302.13079999999997
0.00036972 ,464.36832
0.00022043 ,276.86008000000004
0.0001708 ,214.5248
0.00039281 ,493.36936
3.21121834e-05 ,40.3329023504
0.00031742 ,398.67951999999997
0.00013944 ,175.13664
0.00014795 ,185.8252
